label,test_num,test_name,test_result,task_name,priority,duration_ms,total_events,events_per_sec,pass_count,fail_count,stress_count,warning_count,deadline_miss_count,pass_rate_pct,exec_min_ms,exec_avg_ms,exec_max_ms_WCET,response_min_ms,response_avg_ms,response_max_ms,deadline_ms,interval_min_ms,interval_avg_ms,interval_max_ms,top_event,top_event_count
baseline,1,TEST_01_SCHEDULER,PASS,Control_Task,4,1500,30,20.0,30,0,0,0,0,100.0,0,0.0,0,0,0.0,0,50,50,50.0,50,CONTEXT_SWITCH,30
baseline,1,TEST_01_SCHEDULER,PASS,Sensor_Task,3,1500,15,10.0,15,0,0,0,0,100.0,0,0.0,0,0,0.0,0,100,100,100.0,100,CONTEXT_SWITCH,15
baseline,2,TEST_02_PRIORITY,PASS,Control_Task,4,401,1,2.49,1,0,0,0,0,100.0,0,0.0,0,0,0.0,0,50,0,0,0,READY_START_ORDER,1
baseline,2,TEST_02_PRIORITY,PASS,Emergency_Task,5,401,1,2.49,1,0,0,0,0,100.0,0,0.0,0,0,0.0,0,20,0,0,0,READY_START_ORDER,1
baseline,2,TEST_02_PRIORITY,PASS,Logger_Task,1,401,1,2.49,1,0,0,0,0,100.0,0,0.0,0,0,0.0,0,200,0,0,0,READY_START_ORDER,1
baseline,3,TEST_03_PREEMPTION,PASS,Emergency_Task,5,801,3,3.75,1,0,0,0,0,33.3,0,0.33,1,0,0.0,0,20,1,250.0,499,START,2
baseline,3,TEST_03_PREEMPTION,PASS,Sensor_Task,3,801,10,12.48,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,100,0,78.0,101,CAMERA_SCAN_RUNNING,8
baseline,4,TEST_04_HARD_DEADLINE,PASS,Emergency_Task,5,1501,15,9.99,15,0,0,0,0,100.0,0,0.0,0,0,0.0,0,20,100,100.0,100,DEADLINE_OK,15
baseline,5,TEST_05_SOFT_DEADLINE,PASS,Communication_Task,2,1501,10,6.66,10,0,0,0,0,100.0,0,0.0,0,0,0.0,0,150,150,150.0,150,SOFT_DEADLINE_OK,10
baseline,5,TEST_05_SOFT_DEADLINE,PASS,Sensor_Task,3,1501,15,9.99,15,0,0,0,0,100.0,0,0.0,0,0,0.0,0,150,100,100.0,100,SOFT_DEADLINE_OK,15
baseline,6,TEST_06_SYNCHRONIZATION,PASS,Control_Task,4,1500,30,20.0,30,0,0,0,0,100.0,0,0.0,0,0,0.0,0,50,49,50.0,51,QUEUE_RECEIVE_SENSOR_DATA,30
baseline,6,TEST_06_SYNCHRONIZATION,PASS,Logger_Task,1,1500,90,60.0,30,0,0,0,0,33.3,0,0.0,0,0,0.0,0,200,0,16.3,51,MUTEX_LOCK_LOG_BUFFER,30
baseline,6,TEST_06_SYNCHRONIZATION,PASS,Sensor_Task,3,1500,30,20.0,30,0,0,0,0,100.0,0,0.0,0,0,0.0,0,100,50,50.0,50,QUEUE_SEND_SENSOR_DATA,30
baseline,7,TEST_07_CONCURRENCY,PASS,Communication_Task,2,2000,14,7.0,14,0,0,0,0,100.0,0,0.0,0,0,0.0,0,150,100,149.77,747,REAR_SENSOR_READ,14
baseline,7,TEST_07_CONCURRENCY,PASS,Control_Task,4,2000,12,6.0,12,0,0,0,0,100.0,0,0.0,0,0,0.0,0,50,120,180.0,780,NAVIGATION_DECISION,12
baseline,7,TEST_07_CONCURRENCY,PASS,Sensor_Task,3,2000,17,8.5,17,0,0,0,0,100.0,0,0.0,0,0,0.0,0,100,80,121.31,739,FRONT_SENSOR_READ,17
baseline,9,TEST_09_TIMING_ANALYSIS,PASS,Control_Task,4,1501,15,9.99,15,0,0,0,0,100.0,0,0.0,0,0,0.0,0,50,100,100.0,100,TIMING_METRIC,15
