timestamp,task,event,priority,response_time,execution_time,deadline,result
0,Control_Task,READY,4,0,0,50,INFO
0,Deadline_Monitor_Task,READY,4,0,0,100,INFO
0,Sensor_Task,READY,3,0,0,100,INFO
0,Communication_Task,READY,2,0,0,150,INFO
0,Fault_Injector_Task,READY,2,0,0,500,INFO
0,Logger_Task,READY,1,0,0,200,INFO
0,Control_Task,CONTEXT_SWITCH,4,0,0,50,INFO
0,Control_Task,START,4,0,0,50,RUNNING
0,Control_Task,QUEUE_RECEIVE_SENSOR_DATA,4,0,0,50,INFO
14,Control_Task,FINISH,4,0,14,50,PASS
15,Deadline_Monitor_Task,CONTEXT_SWITCH,4,0,0,100,INFO
15,Deadline_Monitor_Task,START,4,15,0,100,RUNNING
24,Deadline_Monitor_Task,FINISH,4,15,9,100,PASS
25,Sensor_Task,CONTEXT_SWITCH,3,0,0,100,INFO
25,Sensor_Task,START,3,25,0,100,RUNNING
25,Sensor_Task,QUEUE_SEND_SENSOR_DATA,3,0,0,100,INFO
34,Sensor_Task,FINISH,3,25,9,100,PASS
35,Communication_Task,CONTEXT_SWITCH,2,0,0,150,INFO
35,Communication_Task,START,2,35,0,150,RUNNING
49,Communication_Task,FINISH,2,35,14,150,PASS
50,Control_Task,READY,4,0,0,50,INFO
50,Control_Task,CONTEXT_SWITCH,4,0,0,50,INFO
50,Control_Task,START,4,0,0,50,RUNNING
50,Control_Task,QUEUE_RECEIVE_SENSOR_DATA,4,0,0,50,INFO
64,Control_Task,FINISH,4,0,14,50,PASS
65,Fault_Injector_Task,CONTEXT_SWITCH,2,0,0,500,INFO
65,Fault_Injector_Task,START,2,65,0,500,RUNNING
84,Fault_Injector_Task,FINISH,2,65,19,500,PASS
85,Logger_Task,CONTEXT_SWITCH,1,0,0,200,INFO
85,Logger_Task,START,1,85,0,200,RUNNING
85,Logger_Task,MUTEX_LOCK_LOG_BUFFER,1,0,0,200,INFO
85,Logger_Task,LOGGER_WRITE,1,0,0,200,INFO
100,Control_Task,READY,4,0,0,50,INFO
100,Deadline_Monitor_Task,READY,4,0,0,100,INFO
100,Sensor_Task,READY,3,0,0,100,INFO
100,Logger_Task,PREEMPTED,1,0,0,200,INFO
100,Control_Task,CONTEXT_SWITCH,4,0,0,50,INFO
100,Control_Task,START,4,0,0,50,RUNNING
100,Control_Task,QUEUE_RECEIVE_SENSOR_DATA,4,0,0,50,INFO
114,Control_Task,FINISH,4,0,14,50,PASS
115,Deadline_Monitor_Task,CONTEXT_SWITCH,4,0,0,100,INFO
115,Deadline_Monitor_Task,START,4,15,0,100,RUNNING
124,Deadline_Monitor_Task,FINISH,4,15,9,100,PASS
125,Sensor_Task,CONTEXT_SWITCH,3,0,0,100,INFO
125,Sensor_Task,START,3,25,0,100,RUNNING
125,Sensor_Task,QUEUE_SEND_SENSOR_DATA,3,0,0,100,INFO
134,Sensor_Task,FINISH,3,25,9,100,PASS
135,Logger_Task,CONTEXT_SWITCH,1,0,0,200,INFO
139,Logger_Task,MUTEX_UNLOCK_LOG_BUFFER,1,85,54,200,INFO
139,Logger_Task,FINISH,1,85,54,200,PASS
150,Control_Task,READY,4,0,0,50,INFO
